ООН
СССР
абажур
абазин
аббат
аббревиатура
абзац
абитуриент
абонемент
абонент
абориген
аборт
абортла
абразив
абразивлă
абрикос
абсолютизм
абсолютизмла
абсолютлă
абстрактлă
абстрактлăх
абстракци
абстракциле
абстракцилен
абстракциллĕ
абстракционизм
абстракционизмла
абстракционист
абсурд
абсурдлă
абсурдлăх
ав
авал
аваллăх
авалтанпа
авалхи
авалхилле
аван
авангард
авангардизм
аванзал
аванлан
аванлантар
аванлат
аванлаттар
аванлăх
аванложа
аванмарлан
аванпорт
аванпост
аванс
авансла
авансцена
авантюра
авантюрăллă
авантюризм
авантюрист
авантюристла
авар
авари
аварилĕх
аварисĕр
авă
авăк
авăклан
авăн
авăнлăх
авăнтар
авăнчăк
авăнчăклан
авăнчăклантар
авăнчăклат
авăнчăклă
авăр
авăрла
авăрлан
авăрлаттар
авăрлă
авăрсăр
авăрсăрлан
авăрт
авăртăн
авăрттар
авăс
авăсăм
авăсăн
авăстар
авăт
авăттар
август
авиабаза
авиабомба
авиадесант
авиазавод
авиаклуб
авиакомпани
авиакомпас
авиаконструктор
авиалини
авиамоделизм
авиамоделист
авиамодель
авианосец
авиаотряд
авиаприбор
авиапочту
авиапочта
авиаразведка
авиаспорт
авиастроени
авиаçул
авиаçыхăну
авиатехник
авиатор
авиатранспорт
авиатрасса
авиаци
авиачасть
авиашкул
авиаэскадрилья
авитаминоз
авка
авкала
авкалан
авкалантар
авкаланчăк
авкаланчăклан
авкăç
авкăч
авкум-шавкум
авлан
авлантар
авлану
авмак
авмака
авмакалан
авмашка
авра
аврал
авран
аврантар
авра-çавра
авраттар
авраш
авраштар
аврăç
аврăçăн
аврăçлан
аврăçлă
аврăçтар
авсăм
австрал
австри
автан
автанла
автанччен
автар
автаркии
автă
автобаза
автобиографии
автобиографиллĕ
автоблокировка
автобус
автовокзал
автоген
автограф
автогрейдер
автодрезина
автодром
автозавод
автозаправка
автозаправщик
автоинспектор
автоинспекции
автокар
автоклав
автоклуб
автоколонна
автокормушка
автокран
автокрановщик
автокружок
автол
автолавка
